CUSTOMER_ID,CUSTOMER_CATEGORY_ID,CUSTOMER_NAME,CUSTOMER_SECTOR_TYPE,SECTOR_CODE,CUSTOMER_RISK_LEVEL
10000292,1,"Grace Harris",2,"903010",""
10000293,1,"Hassan Satoshi Hill White",2,"903040","LOW RISK"
10000294,1,"Evelyn Rahman",2,"903040",""
10000295,3,"Lin Rahman",2,"903040",""
10000296,1,"Taro Andrew Yang",2,"903040",""
10000297,2,"David Hassan Chen",2,"903040",""
10010319,2,"Julian David Rahman",2,"903040","LOW RISK"
10010340,1,"Karim Daniel Mitchell",2,"908900",""
10010345,1,"Leo Hana Liu Li",2,"911000",""
10010360,2,"John Johnson Wang",2,"903090",""
10010366,5,"Alexander Clark",2,"911000",""
10000424,1,"Robert Chen",2,"903090",""
10000425,1,"Hao Henry Minato Brown",2,"903040",""
10000426,1,"Rania Anderson Smith",2,"903050",""
10000427,1,"Nathan Yang Hussein",2,"903040",""
10000428,1,"Lily Xia Julian Lin Wang",2,"903040",""
10000429,1,"Scarlett Yuan Deng Amin",2,"903040",""
10000430,1,"Madison Ishikawa",2,"903040",""
10000431,1,"Dylan Zainab Amin Al-Farsi",2,"903040",""
10000432,2,"Ahmed Jacob Johnson",2,"903010",""
10000433,1,"Isabella Yuan Li Al-Mohammed",2,"903040","LOW RISK"
10000434,1,"Aisha Smith Nakamura",2,"903040",""
10000435,1,"Mariam Nicholas Khan",2,"903040",""
10000436,1,"Hassan Zayed Harris",2,"903040",""
10000437,1,"Nicholas Wei Sato Baker",2,"903040",""
10000438,1,"Victoria Chen Clark Zayed",2,"903040",""
10000439,1,"Nicholas Emily Johnson Smith",2,"903040",""
10000440,1,"Grace Scarlett Benjamin Smith",2,"903040",""
10000441,1,"Ryan Salma Rahman",2,"903090",""
10000442,1,"Christopher Yang",2,"903040",""
10000443,1,"William Liang Ishikawa",2,"903040",""
10000444,1,"Mariam Brown Nasir",2,"915050",""
10000445,1,"Hao Takahashi Darwish",2,"903040",""
10000446,1,"Liang Alexander Nathan Johnson",2,"903010",""
10000447,1,"Mason Al-Farsi",2,"903010",""
10000448,1,"Olivia Zhao Lewis",2,"903090",""
10000449,1,"William Takashi Nour Hussein",2,"903040",""
10000450,1,"Fatima Hill Sato",2,"903040",""
10000451,3,"Sophia Hassan Takahashi Haddad",2,"903010",""
10000452,1,"Xia Xu",2,"903090",""
10000453,1,"Zainab Zainab Hill",2,"903040",""
10000454,1,"Olivia Xu",2,"903040",""
